LOC000003582770,ORD420020589674,HFC,In progress,ASI000000000035
LOC000003582770,ORD420019912920,HFC,Cancelled,ASI000000000035
LOC000003625094,ORD410001563054,HFC,In progress,ASI000000220777
LOC000003625094,ORD420020767016,HFC,Acknowledged - Pending,ASI000000220777
LOC000003866248,ORD420020861579,HFC,Complete,ASI000000221038
LOC000003866248,ORD420020861816,HFC,Cancelled,ASI000000221038
LOC000003866248,ORD420003382754,HFC,Cancelled,ASI000000000035
LOC000003868500,ORD410001537924,HFC,Cancelled,ASI000000220777
LOC000003868500,ORD420020656726,HFC,In progress,ASI000000220777
LOC000003885705,ORD420020038532,HFC,Cancelled,ASI000000000035
LOC000003885705,ORD420020128311,HFC,Complete,ASI000000000035
LOC000003963926,ORD410001606449,HFC,Complete,ASI000000001104
LOC000003963926,ORD420020621373,HFC,Cancelled,ASI000000001104
LOC000004000435,ORD420016587010,HFC,Cancelled,ASI000000000035
LOC000004000435,ORD420017244752,HFC,Cancelled,ASI000000000035
LOC000004000435,ORD420020271491,HFC,Cancelled,ASI000000000035
LOC000004000435,ORD420020529212,HFC,Cancelled,ASI000000000035
LOC000004101494,ORD420019820721,HFC,Cancelled,ASI000000000035
LOC000004101494,ORD420020389878,HFC,Complete,ASI000000000035
LOC000004144282,ORD420020051586,HFC,In progress,ASI000000000035
LOC000004144282,ORD420020198917,HFC,Complete,ASI000000000035
LOC000004315154,ORD410001609345,HFC,Cancelled,ASI000000151622
LOC000004315154,ORD420021226556,HFC,In progress,ASI000000151622
LOC000004412959,ORD410000196034,HFC,Cancelled,ASI000000220777
LOC000004412959,ORD410001590223,HFC,Complete,ASI000000000035
LOC000004412959,ORD420008175737,HFC,Cancelled,ASI000000000035
LOC000004412959,ORD420020871684,HFC,In progress,ASI000000000035
LOC000004459221,ORD410001617007,HFC,Cancelled,ASI000000220777
LOC000004459221,ORD410001617988,HFC,In progress,ASI000000220777
LOC000004551638,ORD410001617114,HFC,In progress,ASI000000001074
LOC000004551638,ORD420005340998,HFC,Cancelled,ASI000000000026
LOC000004555132,ORD420019982507,HFC,Cancelled,ASI000000001074
LOC000004555132,ORD420020235213,HFC,Complete,ASI000000001074
LOC000004608885,ORD420020302647,HFC,Complete,ASI000000001104
LOC000004608885,ORD420018850813,HFC,Cancelled,ASI000000220777
LOC000004715770,ORD410001508278,HFC,Cancelled,ASI000000220777
LOC000004715770,ORD410001508353,HFC,In progress,ASI000000220777
LOC000004780667,ORD420020432038,HFC,Cancelled,ASI000000220777
LOC000004780667,ORD420021197741,HFC,In progress,ASI000000001104
LOC000004929627,ORD420019997338,HFC,Cancelled,ASI000000221038
LOC000004929627,ORD420020944620,HFC,In progress - Pending,ASI000000221038
LOC000004959815,ORD420020729821,HFC,In progress,ASI000000001074
LOC000004959815,ORD420021209935,HFC,In progress,ASI000000001074
LOC000004966121,ORD420021221719,HFC,In progress,ASI000000000035
LOC000004966121,ORD420021221828,HFC,In progress,ASI000000000035
LOC000005028934,ORD420020143875,HFC,Cancelled,ASI000000001074
LOC000005028934,ORD420021152616,HFC,In progress,ASI000000001074
LOC000005033320,ORD420020145325,HFC,Cancelled,ASI000000000035
LOC000005033320,ORD420020802561,HFC,Complete,ASI000000000035
LOC000005130437,ORD410001514698,HFC,Complete,ASI000000220777
LOC000005130437,ORD420000101378,HFC,Cancelled,ASI000000220777
LOC000005134956,ORD420020192973,HFC,Complete,ASI000000001074
LOC000005134956,ORD420020228290,HFC,Complete,ASI000000000035
LOC000005156195,ORD420020054887,HFC,Cancelled,ASI000000001074
LOC000005156195,ORD420020631564,HFC,Complete,ASI000000001074
LOC000005217272,ORD420020743530,HFC,In progress,ASI000000220777
LOC000005217272,ORD420020774098,HFC,In progress,ASI000000001074
LOC000005255493,ORD420020309518,HFC,Cancelled,ASI000000001074
LOC000005255493,ORD420020441918,HFC,In progress,ASI000000001074
LOC000005301488,ORD410000251990,HFC,Complete,ASI000000220777
LOC000005301488,ORD420006957659,HFC,Cancelled,ASI000000220777
LOC000005348401,ORD420019768975,HFC,Cancelled,ASI000000000035
LOC000005348401,ORD420020145151,HFC,Complete,ASI000000000035
LOC000005543020,ORD420020195229,HFC,Cancelled,ASI000000001074
LOC000005543020,ORD420020433551,HFC,In progress,ASI000000000035
LOC000005791204,ORD420020692917,HFC,Complete,ASI000000000035
LOC000005791204,ORD420019943902,HFC,Cancelled,ASI000000000035
LOC000005800409,ORD420019981853,HFC,Complete,ASI000000000026
LOC000005800409,ORD420020818083,HFC,In progress,ASI000000000035
LOC000005837933,ORD420019808937,HFC,Cancelled,ASI000000001074
LOC000005837933,ORD420019934395,HFC,Complete,ASI000000001074
LOC000005975627,ORD410001630613,HFC,Cancelled,ASI000000220777
LOC000005975627,ORD420021209568,HFC,In progress,ASI000000220777
LOC000006003692,ORD420020172036,HFC,Complete,ASI000000000035
LOC000006003692,ORD420007337875,HFC,Cancelled,ASI000000000035
LOC000006029404,ORD410001537752,HFC,In progress,ASI000000220777
LOC000006029404,ORD420021143183,HFC,In progress,ASI000000220777
LOC000006072631,ORD420020640427,HFC,Cancelled,ASI000000001074
LOC000006072631,ORD420021216175,HFC,In progress,ASI000000001074
LOC000006163395,ORD420020690348,HFC,Cancelled,ASI000000001104
LOC000006163395,ORD420021104800,HFC,In progress,ASI000000220777
LOC000006167277,ORD420001736246,HFC,Cancelled,ASI000000220777
LOC000006167277,ORD420002046219,HFC,Complete,ASI000000000035
LOC000006372687,ORD420016531536,HFC,Cancelled,ASI000000000035
LOC000006372687,ORD420019401741,HFC,Cancelled,ASI000000000035
LOC000006372687,ORD420020047779,HFC,Cancelled,ASI000000000035
LOC000006372687,ORD420020366837,HFC,Complete,ASI000000000035
LOC000006517867,ORD420020445952,HFC,Complete,ASI000000000026
LOC000006517867,ORD420019815001,HFC,Complete,ASI000000001074
LOC000006605552,ORD420020000431,HFC,Cancelled,ASI000000001074
LOC000006605552,ORD420021095252,HFC,In progress,ASI000000220777
LOC000006711265,ORD420020762735,HFC,In progress,ASI000000000035
LOC000006711265,ORD420020875210,HFC,In progress,ASI000000000035
LOC000006960455,ORD420002771001,HFC,Cancelled,ASI000000000035
LOC000006960455,ORD420004061838,HFC,Complete,ASI000000220282
LOC000007340408,ORD410001617228,HFC,Cancelled,ASI000000220777
LOC000007340408,ORD410001623115,HFC,In progress,ASI000000220777
LOC000007412950,ORD420020052534,HFC,Cancelled,ASI000000001074
LOC000007412950,ORD420020116120,HFC,Complete,ASI000000000035
LOC000007415349,ORD420020668923,HFC,In progress - Held,ASI000000001074
LOC000007415349,ORD420020805754,HFC,Cancelled,ASI000000000035
LOC000007415349,ORD420018211599,HFC,Cancelled,ASI000000000035
LOC000007428787,ORD420008480216,HFC,Cancelled,ASI000000001074
LOC000007428787,ORD420008603029,HFC,Complete,ASI000000220777
LOC000007469190,ORD420019811725,HFC,Complete,ASI000000220777
LOC000007469190,ORD420019848142,HFC,Cancelled,ASI000000220777
LOC000007483460,ORD420019818117,HFC,In progress,ASI000000000035
LOC000007483460,ORD420021010511,HFC,In progress,ASI000000000035
LOC000007514882,ORD410001616417,HFC,In progress,ASI000000220777
LOC000007514882,ORD420021086292,HFC,Cancelled,ASI000000220777
LOC000007514882,ORD420021114002,HFC,In progress,ASI000000220777
LOC000007573059,ORD420020180270,HFC,Cancelled,ASI000000000035
LOC000007573059,ORD420020375049,HFC,Complete,ASI000000000035
LOC000007750407,ORD420020299448,HFC,In progress,ASI000000000035
LOC000007750407,ORD420020943254,HFC,Acknowledged - Pending,ASI000000220777
LOC000007770070,ORD420020048048,HFC,Cancelled,ASI000000220777
LOC000007770070,ORD420021077812,HFC,In progress,ASI000000220777
LOC000007948802,ORD420020228261,HFC,Complete,ASI000000000026
LOC000007948802,ORD420020690561,HFC,Complete,ASI000000220777
LOC000007950765,ORD420020914241,HFC,Cancelled,ASI000000001074
LOC000007950765,ORD410001628994,HFC,In progress,ASI000000001104
LOC000008032373,ORD410001575536,HFC,Acknowledged - Pending,ASI000000000035
LOC000008032373,ORD420020732037,HFC,Complete,ASI000000000035
LOC000008136817,ORD420020180291,HFC,Cancelled,ASI000000000035
LOC000008136817,ORD420020413259,HFC,In progress,ASI000000000035
LOC000008164395,ORD420020075016,HFC,In progress - Pending,ASI000000221038
LOC000008164395,ORD420020146792,HFC,Complete,ASI000000221038
LOC000008176767,ORD410001467099,HFC,Complete,ASI000000151622
LOC000008176767,ORD420019852103,HFC,Cancelled,ASI000000151622
LOC000008210370,ORD420020564495,HFC,Cancelled,ASI000000000035
